restaurant_name,city,rating,avg_price,price_to_rating_ratio
Domino's Pizza,brasschaat,4.4,,
Sushi Aiko-Ka,bruxelles,4.5,,
Pizzeria San Remo,antwerpen,3.8,,
Pizza Grill Huis,wilsele,4.6,,
Kebap Store,scherpenheuvel-zichem,3.9,,
Samis Lounge Restaurant,geraardsbergen,4.6,,
Bagelshop Houthalen,houthalen-oost,4.7,,
Bruschetta Mia,deinze,4.7,,
Coffee Co.,sint-niklaas,4.8,,
Deli Sushi,leuven,3.5,,
Chifuri,lessines,4.2,,
M84U,dormaal,4.5,,
Pizza Sara,hamme,3.3,,
O'Bizet,anderlecht,4.6,,
Friet 'n Chips,boom,4.3,,
