city,restaurant_count
virginal,1
ostende,1
meulebeke,1
brugge sint-andries,1
eindhout,1
dranouter,1
hechtel-eksel,1
ans,1
saintes,1
waasmunster,1
schepdaal,1
frasnes,1
hove,1
dalhem,1
hever,1
herzele,1
eppegem,1
comines-warneton,1
olsene,1
grembergen,1
brugge sint-kruis,1
ukkel,1
tielen,1
dormaal,1
moorslede,1
hechtel,1
steenokkerzeel,1
kumtich (tienen),1
lint,1
affligem,1
lennik,1
sint-michiels,1
nieppe,1
oordegem,1
keerbergen,1
beersel,1
woluwe saint lambert,1
linden (lubbeek),1
averbode,1
ardooie,1
lierde,1
bunsbeek,1
linkebeek,1
landen,1
rupelmonde,1
linkeroever,1
wondelgem,1
koersel,1
oelegem,1
zwijnaarde,1
lombardsijde-bad,1
putte-kapellen,1
rillaar,1
dworp,1
sinaai,1
reet,1
heers,1
aubel,1
maastricht west,1
de haan,1
stekene,1
sint-pauwels,1
vrasene,1
ramsel,1
zomergem,1
wingene,1
neerlinter,1
baardegem,1
berendrecht,1
laakdal,1
lubbeek,1
opglabbeek,1
courtrai,1
kester,1
rocourt,1
zoutleeuw,1
gand,1
zeebrugge,1
oevel,1
zoerle-porwijs,1
jeuk,1
noorderwijk (herentals),1
oosterzele,1
herenthout,1
eisden,1
olen,1
waarschoot,1
knocke-heist,1
scherpenheuvel,1
melle,1
berlare,1
saint-trond,1
holsbeek,1
rotselaar,1
sint-lievens-houtem,1
laken,1
gierle,1
kasterlee,1
schaffen-diest,1
sint-eloois-winkel,1
estaimpuis,1
hoogstraten-meerle,1
ravels,1
braine-le-comte,1
hombeek,1
st-niklaas,1
neupré,1
awans,1
sint-gilles,1
kanne,1
roosendaal,1
hoegaarden,1
rekkem,1
okselaar,1
kortemark,1
bouwel,1
broechem,1
zutendaal,1
bocholt,1
testelt,1
baarle-nassau,1
gistel,1
sint-amands,1
begijnendijk,1
kalken,1
sluis,1
sint- andries,1
wauthier-braine,1
haasdonk,1
haaltert,1
aarstelaar,1
weelde,1
echt,1
as,1
sint michiels,1
anzegem,1
drongen,1
baarle-hertog,1
valkenswaard,1
burcht,1
sint niklaas,1
ath,1
oud-heverlee,1
ruislede,1
veurne,1
de panne,1
etterbeek,1
helecine,1
tubeke,1
zammel (geel),1
oreye,1
roccourt,1
wezembeek,1
ossendrecht,1
ternat,1
houthalen-oost,1
berchem sainte agathe,1
assebroek,1
westmalle,1
meise,1
eke,1
ghent,1
hermalle,1
1040,1
rhode saint genèse,1
steenhuffel,1
itegem,1
sint-kruis,1
moorsele,1
lendelede,1
wenduine,1
erembodegem,1
louvain-la-neuve,1
denderhoutem,1
hekelgem,1
oudsbergen,1
rijkevorsel,1
sint-job-in-'t-goor (brecht),1
antwerpen-zuid,1
kortenaken,1
kortrijk-dutsel,1
strombeek,1
zellik,1
hoepertingen,1
staden,1
loppem,1
vissenaken,1
maaseik,2
schaarbeek,2
braine-le-château,2
antwerp,2
de klinge,2
hamont,2
houthalen,2
wilsele,2
meerhout,2
kermt,2
scherpenheuvel-zichem,2
borgloon,2
frasnes-lez-anvaing,2
oostrozebeke,2
alken,2
grobbendonk,2
kortenberg,2
kuringen,2
boechout,2
wezembeek-oppem,2
ranst,2
ichtegem,2
sint-gillis-waas,2
drogenbos,2
haacht,2
torhout,2
herselt,2
braine l'alleud,2
grand-bigard,2
wervik,2
lille,2
rixensart,2
kessel,2
merchtem,2
oostakker,2
gentbrugge,2
sittard,2
jodoigne,2
zwijndrecht,2
beveren-waas,2
boutersem,2
belsele,2
ertvelde,2
arendonk,2
dessel,2
oupeye,2
spiere-helkijn,2
zwevegem,2
betekom,2
nazareth,2
ruisbroek,2
hulshout,2
rumst,2
booischot,2
brecht,2
kinrooi,2
tervuren,2
lochristi,2
diksmuide,2
woluwé-saint-pierre,2
destelbergen,2
hoeselt,2
zemst,2
merksplas,2
middelkerke,2
rijmenam,2
geetbets,2
brussel,2
waarloos,2
sint-andries,2
genval,2
sleidinge,2
sint-lambrechts-woluwe,2
menen,2
buizingen,2
