restaurant_name,city,latitude,longitude,kapsalon_items,avg_price
Kebap Store,scherpenheuvel-zichem,50.9799202,4.9708248,19,
Pitta & Grill ‘T Parkske,oudenaarde,50.8456491,3.6096502,10,
Antalya Grill,oostende,51.2245941,2.9087838,1,
Ramses II,wuustwezel,51.394011,4.5962642,4,
Fresh Pita,sint-niklaas,51.1620708,4.1413516,4,
Mr. Spareribs,hasselt,50.930466,5.343357,2,
Gül Food,anderlecht,50.8479888,4.3099943,2,
Ottoman Pizza & BBQ,gent,51.06103,3.6932049,3,
Foodtruck Pitta Mustafari,ledeberg,51.036934,3.7413306,2,
Snack Centraal,borgerhout,51.2145585,4.4351753,5,
Dunya Döner,antwerpen,51.2220515,4.463011,3,
Snack Bodrum,woluwe-saint-lambert,50.84294,4.4083082,4,
Pitta Melissa,ledeberg,51.0372872,3.7404987,12,
Snack Gab & Dav,schaerbeek,50.8653653,4.3885953,5,
Madame Gusto,bruxelles,50.8856404,4.3176225,1,
Reet Grillhouse,reet,51.1148621,4.3898315,5,
Masaya,herent,50.9158814,4.6556004,4,
Frituur 't Bekske,heusden-zolder,51.0407393,5.2817897,3,
Al Baraka,mechelen,51.037434,4.476926,6,
Snack El Medina,maasmechelen,50.9884185,5.6923432,8,
Kebap Mustafa,geetbets,50.8926649,5.1141853,3,
Venus,zonhoven,50.9995553,5.3320171,6,
O Saveurs,molenbeek,50.8582362,4.3400189,1,
Eethuis Taha,rumst,51.080901,4.430953,1,
Kebab@Home,aalst,50.9369842,4.0271876,3,
Snack Tielt,tielt,50.9984585,3.3270373,3,
Ada Grill & Burger,maastricht,50.8465692,5.6941176,10,
Pitta Maldegem,maldegem,51.2139925,3.4468523,3,
Snack Araff,schaerbeek,50.864184,4.3659068,4,
Milas,eksel,51.1615201,5.3969554,8,
Snack O'Laeken,bruxelles,50.8779263,4.3477112,2,
Snack Ot's,schaerbeek,50.8709745,4.375243,3,
Cannur Pizza Pasta Pitta BBQ,wetteren,51.0058452,3.8886878,10,
Snack O Tac,jette,50.8695437,4.3328935,2,
Damas Veneto,antwerpen,51.2207499,4.4266288,5,
Napoli,hemiksem,51.1326409,4.335473,12,
Pita Vogelmarkt,antwerpen,51.213503,4.4094513,5,
