city,restaurant_count
antwerpen,437
gent,309
bruxelles,264
leuven,174
schaerbeek,110
brugge,96
oostende,85
mechelen,84
anderlecht,84
deurne,56
uccle,51
ixelles,50
laeken,48
etterbeek,43
hasselt,41
sint-niklaas,39
aalst,38
molenbeek-saint-jean,36
genk,32
jette,30
berchem,30
forest,30
saint-gilles,29
saint-josse-ten-noode,24
waterloo,23
evere,23
lier,23
merksem,22
woluwe-saint-lambert,21
vilvoorde,21
turnhout,20
mortsel,20
wilrijk,20
borgerhout,19
roeselare,18
brasschaat,18
knokke-heist,18
wavre,18
heusden-zolder,17
vilvorde,17
blankenberge,17
mouscron,16
zaventem,16
kortrijk,16
bruxelles-capitale,15
boom,14
wijnegem,13
hoboken,13
koekelberg,13
waregem,13
maasmechelen,13
oudenaarde,12
lommel,12
dendermonde,12
auderghem,12
asse,12
ieper,12
kessel-lo,12
ganshoren,12
lokeren,12
geel,12
tubize,11
hamme,11
beveren,11
ekeren,11
ninove,11
sint-truiden,11
brussel,11
heist-op-den-berg,10
lanaken,10
herentals,10
deinze,10
mol,10
dilbeek,10
harelbeke,10
schoten,10
molenbeek,9
woluwe-saint-pierre,9
bornem,9
nijlen,9
diest,9
knokke,9
kapellen,9
liège,8
wetteren,8
borsbeek,8
eeklo,8
aarschot,8
houthalen-helchteren,8
sint-amandsberg,8
overijse,8
tielt,8
geraardsbergen,8
beringen,8
anvers,8
ledeberg,8
tienen,8
willebroek,7
visé,7
zelzate,7
gand,7
kontich,7
temse,7
zonhoven,7
bilzen,7
grimbergen,7
schilde,7
herent,6
zele,6
waremme,6
maastricht,6
zottegem,6
leeuw-saint-pierre,6
kalmthout,6
berchem-sainte-agathe,6
putte,6
wemmel,6
alost,6
braine-l'alleud,6
tongeren,6
erpe-mere,6
izegem,6
hannut,5
diepenbeek,5
wachtebeke,5
ronse,5
malines,5
wevelgem,5
halle,5
heverlee,5
sint-katelijne-waver,5
oostkamp,5
woluwé-saint-lambert,5
bree,5
denderleeuw,5
strombeek-bever,5
leopoldsburg,5
westerlo,5
neerpelt,5
kampenhout,5
duffel,5
haacht,4
sint-gillis-waas,4
aartselaar,4
enghien,4
essen,4
woluwé-saint-pierre,4
balen,4
niel,4
stabroek,4
koksijde,4
londerzeel,4
aalter,4
hoogstraten,4
hemiksem,4
bredene,4
evergem,4
zemst,4
diegem,4
la hulpe,4
groot-bijgaarden,4
merelbeke,4
louvain,4
peer,4
edegem,4
kuurne,4
tessenderlo,4
genval,4
nieuwpoort,4
lessines,4
merchtem,4
wuustwezel,4
buggenhout,4
ranst,3
drogenbos,3
lembeek,3
sint-lievens-houtem,3
riemst,3
menen,3
halluin,3
wommelgem,3
alsemberg,3
opwijk,3
rumst,3
grobbendonk,3
overpelt,3
pelt,3
vosselaar,3
lasne,3
kortenberg,3
poperinge,3
tremelo,3
middelkerke,3
grez-doiceau,3
kraainem,3
machelen,3
menin,3
boortmeerbeek,3
keerbergen,3
lebbeke,3
sint-pieters-leeuw,3
braine-le-château,3
neder-over-heembeek,3
houthalen,3
wolvertem,3
oostduinkerke,3
maaseik,3
schaarbeek,3
hamont-achel,3
scherpenheuvel-zichem,3
zandhoven,3
maldegem,3
gentbrugge,3
lede,3
zoersel,3
kruibeke,3
watermael-boitsfort,3
dilsen-stokkem,3
beverlo,3
liedekerke,3
hal,3
bruges,3
malle,3
berlaar,3
brussel-hoofdstad,3
zulte,3
oud-turnhout,3
elsene,3
berlare,2
ichtegem,2
melle,2
drongen,2
destelbergen,2
ghent,2
buizingen,2
rijkevorsel,2
hoeselt,2
sint-lambrechts-woluwe,2
