city,vegan_items,vegetarian_items
molenbeek-saint-jean,0,7
oostende,83,187
herentals,7,36
koksijde,4,7
deinze,19,31
stabroek,0,10
wezembeek-oppem,0,1
wetteren,4,23
leeuw-saint-pierre,0,1
aalter,0,2
bornem,4,15
,0,0
dworp,0,0
sinaai,0,1
nijlen,4,9
roosdaal,0,1
frasnes-lez-anvaing,0,1
kuringen,0,4
grobbendonk,0,10
koersel,2,3
eigenbrakel,0,0
lombardsijde-bad,0,0
linkeroever,0,3
rillaar,0,0
chaumont-gistoux,0,0
laakdal,0,1
woluwe-saint-etienne,0,0
eksel,0,1
linkebeek,0,0
oelegem,0,3
putte-kapellen,0,1
reet,0,0
erpe-mere,0,4
kuurne,0,4
tongeren,6,4
erembodegem,0,0
wilrijk,6,42
schoten,4,38
brussel,0,23
etterbeek,14,12
burcht,0,1
watermael-boitsfort,0,3
aalst,23,61
braine-l'alleud,0,1
genval,4,0
geetbets,0,1
sleidinge,0,13
ath,0,0
tubeke,0,0
waarloos,0,21
tervuren,0,0
kruibeke,0,6
sint niklaas,0,4
merksem,7,69
rhode-saint-genèse,0,0
sint-andries,0,7
rijmenam,0,6
beverlo,0,8
wezembeek,0,0
ruislede,0,0
oreye,0,0
oud-heverlee,0,0
zoersel,0,5
baarle-hertog,0,1
vissenaken,0,0
ossendrecht,0,0
roccourt,0,0
valkenswaard,0,0
termonde,0,0
de panne,0,1
veurne,0,1
comines,0,1
zammel (geel),0,4
helecine,0,1
auderghem,6,1
berchem,9,61
la hulpe,0,2
asse,10,8
gand,0,7
mol,5,26
zwijndrecht,0,8
rocourt,0,0
grez-doiceau,0,0
boutersem,0,0
saint josse ten noode,0,0
kraainem,0,6
ertvelde,0,5
heverlee,0,3
machelen,0,0
zoutleeuw,0,2
groot-bijgaarden,0,6
boortmeerbeek,1,1
sint-jans-moleenbeek,0,1
jodoigne,0,4
zeebrugge,0,4
belsele,0,4
menin,0,0
beveren-waas,0,9
kester,0,0
schaerbeek,13,41
lokeren,12,18
borgloon,0,2
sint-niklaas,7,41
kessel-lo,6,6
houthalen-helchteren,4,31
waregem,4,25
beersel,0,2
houthalen,4,1
evere,5,8
linden (lubbeek),0,0
lebbeke,0,3
zonhoven,4,40
bruxelles-capitale,1,10
ganshoren,1,2
sint-amandsberg,0,11
putte,0,10
woluwé-saint-lambert,0,4
wemmel,0,0
antwerp,4,4
kumtich (tienen),0,0
woluwe saint lambert,0,0
keerbergen,2,9
nieppe,0,0
hamont,0,2
sint-pieters-woluwe,0,0
olsene,2,1
oordegem,0,0
ittervoort,0,1
hove,0,0
de klinge,0,2
kapelle-op-den-bos,0,1
beringen-mijn,0,1
sint pieters woluwe,0,0
averbode,0,0
grembergen,0,4
herzele,0,3
sint-michiels,0,0
opwijk,0,5
hamme,10,33
houthalen-oost,1,0
wenduine,5,6
saint-gilles,12,4
menen,4,0
meise,0,0
zele,4,13
herent,0,5
tournai,0,0
tubize,4,5
liège,1,1
enghien,0,0
assebroek,0,7
waremme,0,0
buizingen,0,0
riemst,0,1
ronse,4,3
hannut,0,2
eke,0,0
louvain-la-neuve,0,0
sint-lambrechts-woluwe,0,0
buggenhout (opdorp),1,1
oudergem,0,1
ternat,0,3
ghent,0,15
westmalle,1,4
berchem sainte agathe,0,0
westmeerbeek,0,1
bruxelles,42,69
mechelen,37,97
knokke-heist,1,11
borgerhout,0,23
wavre,1,3
tessenderlo,4,2
vilvorde,4,10
izegem,4,3
braine l'alleud,0,0
oevel,0,14
woluwe saint-lambert,0,1
ham,0,0
rixensart,0,0
vorst,0,0
st-niklaas,0,1
lille,0,17
lummen,0,0
munster bilzen,0,2
wervik,0,0
kessel-lo (leuven),0,0
zoerle-porwijs,0,2
dilsen-stokkem,0,9
ravels,0,2
hombeek,0,4
lubbeek,0,0
grand-bigard,0,2
braine-le-comte,0,0
schaffen-diest,0,0
hoogstraten-meerle,0,4
ophasselt,1,11
ixelles,8,4
rijkevorsel,0,1
heusden-zolder,4,12
alsemberg,4,1
denderhoutem,0,4
waterloo,0,14
essen,0,2
loppem,1,3
wachtebeke,0,8
lommel,5,28
sint-josse-ten-noode,1,0
diepenbeek,4,13
kortenaken,0,1
woluwe-saint-pierre,0,2
antwerpen-zuid,0,9
hekelgem,0,1
woluwé-saint-pierre,1,0
destelbergen,0,4
dendermonde,7,16
hoeselt,1,2
hoepertingen,0,2
wommelgem,0,3
oudsbergen,0,1
halluin,0,2
sint-joost-ten-node,0,0
sint-job-in-'t-goor (brecht),0,1
drongen,0,5
zellik,0,4
staden,0,0
anzegem,0,4
kortrijk-dutsel,0,1
strombeek,0,0
merelbeke,0,10
lier,7,60
temse,1,26
mortsel,4,39
neder-over-heembeek,3,0
oostkamp,0,15
schepdaal,1,3
brugge sint-andries,0,0
sint-katelijne-waver,4,14
dilbeek,0,6
dranouter,0,1
schaarbeek,0,5
ieper,5,21
maaseik,4,1
hamont-achel,0,1
knokke,6,10
ostende,0,2
meulebeke,0,0
oostduinkerke,0,1
waasmunster,0,3
kontich,0,5
eindhout,0,0
louvain,6,12
braine-le-château,0,9
hechtel-eksel,0,1
ans,0,0
wolvertem,0,4
sint-pieters-leeuw,4,0
virginal,0,0
saintes,0,0
grimbergen,0,4
boom,0,34
wilsele,0,2
scherpenheuvel-zichem,0,2
wauthier braine,0,0
geraardsbergen,3,13
dormaal,0,2
maasmechelen,12,21
zaventem,8,11
moorslede,0,1
vise,0,0
lennik,0,5
brugge sint-kruis,0,0
hever,0,2
affligem,0,3
strombeek-bever,0,1
meerhout,0,0
elsene,2,2
oud-turnhout,0,7
ukkel,0,0
steenokkerzeel,0,0
tielen,0,0
frasnes,0,0
kermt,0,6
dalhem,0,0
comines-warneton,0,0
hechtel,0,2
ardooie,0,0
lint,0,1
eppegem,0,0
kampenhout,0,3
leopoldsburg,0,16
kapellen,0,9
nieuwpoort,0,6
neerpelt,0,6
lede,0,9
westerlo,0,10
liedekerke,0,15
tienen,4,6
bruges,2,3
overijse,4,1
sint-truiden,4,22
malle,5,3
berlaar,0,6
halle-booienhoven,3,0
zulte,0,4
peer,2,7
roosendaal,11,7
rekkem,0,1
renaix,0,0
hal,0,1
galmaarden,0,0
sint josse ten noode,0,0
okselaar,0,0
awans,0,0
zutendaal,0,1
brecht,0,12
brussel-hoofdstad,0,1
bocholt,0,2
kortemark,0,0
sint michiels,0,1
bouwel,0,3
woluwe-sint-lambrecht,0,0
booischot,0,18
kanne,0,1
ruisbroek,0,1
hasselt,9,144
anvers,0,6
blankenberge,0,15
forest,1,7
sint- andries,0,1
denderleeuw,4,4
woluwe-saint-lambert,4,10
bree,12,0
betekom,0,15
vilvoorde,0,10
kortrijk,9,17
alost,0,4
baarle-nassau,0,0
halen,0,1
kalken,0,3
beringen,13,9
kiel,4,0
sluis,0,0
spiere-helkijn,0,1
nieuwerkerken,0,1
begijnendijk,0,3
wauthier-braine,0,0
aarstelaar,0,4
gistel,0,0
zwevegem,0,5
herstal,0,0
aarschot,4,9
sint-kruis,0,0
diest,4,15
eeklo,0,16
diegem,0,14
malines,2,2
lochristi,0,2
zemst,0,32
zelzate,1,8
hasselt-spalbeek,0,1
kalmthout,0,15
moorsele,0,0
gijzegem,0,5
tremelo,0,0
koekelberg,0,2
rhode saint genèse,0,3
ninove,1,22
wevelgem,4,2
kinrooi,0,2
steenhuffel,0,3
diksmuide,0,3
lendelede,0,3
hermalle,0,0
merksplas,0,1
itegem,0,16
sint-kwintens-lennik,1,1
middelkerke,0,4
1040,0,0
saint-nicolas,0,1
geel,5,26
mouscron,5,2
lessines,0,0
schilde,0,11
anderlecht,5,27
gentbrugge,0,0
harelbeke,4,4
buggenhout,0,16
edegem,0,10
bilzen,4,6
tielt,11,19
kessel,0,5
oostakker,0,1
ledeberg,0,25
jeuk,0,0
duffel,0,20
maldegem,0,0
herselt,0,1
estaimpuis,0,0
wuustwezel,0,10
merchtem,0,4
sittard,0,0
zandhoven,1,13
torhout,4,5
courtrai,0,0
laeken,6,24
jette,6,8
leuven,75,292
herenthout,0,0
oudenaarde,4,22
deurne,16,86
wijnegem,5,38
scherpenheuvel,0,1
willebroek,0,13
drogenbos,0,0
sint-gillis-waas,0,18
ranst,0,2
opglabbeek,0,6
lembeek,0,0
molenbeek,7,0
heist-op-den-berg,4,14
wellen,0,1
saint-trond,0,0
fexhe-le-haut-clocher,0,0
kasterlee,0,0
berlare,0,5
sint-lievens-houtem,0,17
knocke-heist,0,0
rotselaar,0,0
kruishoutem,0,10
melle,0,7
haacht,0,5
aartselaar,1,8
olen,0,15
holsbeek,0,0
sint-eloois-winkel,0,2
oosterzele,0,2
anwterpen,0,0
gierle,0,1
ichtegem,0,0
eisden,0,0
sint-stevens-woluwe,0,0
neupré,0,0
waarschoot,0,1
wervick-sud,0,0
laken,0,0
noorderwijk (herentals),0,12
antwerpen,161,583
brugge,50,185
haasdonk,0,6
uccle,9,17
broechem,0,4
turnhout,7,46
borsbeek,4,32
vosselaar,0,7
hemiksem,0,4
maastricht,0,1
pelt,8,9
overpelt,0,7
hoogstraten,5,4
roeselare,5,24
dessel,0,5
sint-gilles,0,0
lanaken,4,33
hoboken,0,22
rumst,0,0
balen,0,5
berchem-saint-agathes,0,1
niel,1,14
zottegem,4,4
bredene,3,4
testelt,0,0
oupeye,0,0
nazareth,0,0
hulshout,0,3
lasne,1,3
arendonk,0,1
haaltert,0,0
londerzeel,0,6
echt,0,0
eernegem,0,0
as,0,1
weelde,1,0
sint-amands,0,0
herenthals,0,5
braine-l’alleud,0,0
westende,0,5
aarsele,0,0
hoegaarden,0,2
brasschaat,5,20
saint-josse-ten-noode,0,10
landen,0,1
visé,4,2
gent,221,607
beveren,0,16
genk,29,38
poperinge,4,0
halle,1,4
ekeren,4,31
sint-pauwels,0,4
wingene,0,10
boechout,0,6
de haan,0,1
berchem-sainte-agathe,4,2
oostrozebeke,0,5
evergem,3,2
stekene,1,6
alken,0,2
vrasene,0,4
baardegem,0,0
aubel,0,1
kortenberg,0,5
zomergem,0,11
zwijnaarde,0,0
nieuwkerken-waas,0,0
maastricht west,0,2
ramsel,0,3
neerlinter,0,1
wondelgem,0,3
heers,0,7
berendrecht,0,0
lierde,0,2
bunsbeek,0,0
